,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_emission,binary,origin,comment,[H/H(e)],[H/H(e)]e,[He/H(e)],[He/H(e)]e,[Li/H(e)],[Li/H(e)]e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,[Be/H(e)],[Be/H(e)]e,Acc_rate_Be_steady_state,Sinking_time_Be,[C/H(e)],[C/H(e)]e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,[N/H(e)],[N/H(e)]e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,[O/H(e)],[O/H(e)]e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,[Na/H(e)],[Na/H(e)]e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,[Mg/H(e)],[Mg/H(e)]e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,[Al/H(e)],[Al/H(e)]e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,[Si/H(e)],[Si/H(e)]e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,[P/H(e)],[P/H(e)]e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,[S/H(e)],[S/H(e)]e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,[Cl/H(e)],[Cl/H(e)]e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,[Ar/H(e)],[Ar/H(e)]e,[K/H(e)],[K/H(e)]e,Acc_rate_K_steady_state,Sinking_time_K,[Ca/H(e)],[Ca/H(e)]e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,[Sc/H(e)],[Sc/H(e)]e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,[Ti/H(e)],[Ti/H(e)]e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,[V/H(e)],[V/H(e)]e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,[Cr/H(e)],[Cr/H(e)]e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,[Mn/H(e)],[Mn/H(e)]e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,[Fe/H(e)],[Fe/H(e)]e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,[Co/H(e)],[Co/H(e)]e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,[Ni/H(e)],[Ni/H(e)]e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,[Cu/H(e)],[Cu/H(e)]e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,[Zn/H(e)],[Zn/H(e)]e,Acc_rate_Zn_steady_state,Sinking_time_Zn,[Ga/H(e)],[Ga/H(e)]e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,[Ge/H(e)],[Ge/H(e)]e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,[As/H(e)],[As/H(e)]e,[Se/H(e)],[Se/H(e)]e,[Sr/H(e)],[Sr/H(e)]e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,[Sn/H(e)],[Sn/H(e)]e,[I/H(e)],[I/H(e)]e,[Ba/H(e)],[Ba/H(e)]e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
0,G270-124,Desharnais 2008,G270-124 Desharnais 2008,20820,7.94,,He,Gaia DR3 2476337856358290560,15.8522427197878,-6.5363598360963,,https://ui.adsabs.harvard.edu/abs/2008ApJ...672..540D/abstract,-4.7,,0.09,,330,0.03,,23.1033,0.0322,,-7.2,,0.1,,,-7.5,-7.8,0.2,0.1,,,,,-7.7,,-7,,,,,,,,-7,-5.9,,-8.7,-1,-1,,-1,-1,-8,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,,-1,,,,,,,,,,,,,,,,,,,-7,-1,,,-7.9,-8.3,-8.4,-7.8,-7.8,-6.7,-7.1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GD 408,Desharnais 2008,GD 408 Desharnais 2008,14660,8.31,,He,Gaia DR3 537563127588521600,1.2784192225358,73.2192730607492,,https://ui.adsabs.harvard.edu/abs/2008ApJ...672..540D/abstract,-5.3,-9,-1,0,130,0.09,,28.9825,0.0213,,-8.2,,0.2,,,-8,-8.8,0.8,0.2,,,,,-7.7,,-8.1,,,,,,,,-8,-6.6,,-8.8,-1,-1,,-1,-1,-8,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-8.1,,-1,,,,,,,,,,,,,,,,,,,-7.3,-1,,,-8.1,-8.6,-9.4,-8.4,-8,-8,-7.6,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GD 61,Desharnais 2008,GD 61 Desharnais 2008,17280,8.2,,He,Gaia DR3 203931163247581184,69.6640585919432,41.1589872087939,,https://ui.adsabs.harvard.edu/abs/2008ApJ...672..540D/abstract,-3.98,-7.5,0.02,0,90,0.05,,18.5503,0.0326,,-7.6,,0.2,,,-6.7,-8.8,0.2,-1,,,,,-7.8,,-7.4,,,,,,,,-7,-5.8,,-8.5,-1,0.2,,-1,-1,-7.9,-1,disc,,Accretion rate from Girven et al. 2012,,,,-1,,,,,,,,,,,,,,794328234.724282,,,,,,,,,,,-8,,-1,,,,,,,,,,,,,,,,,,,-7,-1,,,-7.5,-8,-8.9,-8.1,-7.6,-7.7,-7.4,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GD 378,Desharnais 2008,GD 378 Desharnais 2008,16600,8.03,,He,Gaia DR3 2109852523240471936,275.904214531973,41.0672520761255,,https://ui.adsabs.harvard.edu/abs/2008ApJ...672..540D/abstract,-4.25,-7.9,0.03,0,70,0.04,,22.9244,0.0197,,-7.3,,0.2,,,-7.2,-6.9,0.1,0.1,,,,,-7.8,,-7.5,,,,,,,,-7.5,-6,,-8.8,-1,0.3,,-1,-1,-7.7,0.1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,-8,,-1,,,,,,,,,,,,,,,,,,,-7.3,-1,,,-7.7,-8.3,-9.2,-8.3,-7.9,-7.9,-7.8,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2MASS J0916-4215,Vennes 2024,2MASS J0916-4215 Vennes 2024,5250,8.13,0.66,H,Gaia DR3 5427528254746168192,139.003935055974,-42.255744103547,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3227V/abstract,,-6.7,,0.3,100,0.06,0.04,44.3526,0.0436,-6.8,-7,0.3,0.3,11300000,,-7.1,,-1,,220000000,,6.14323334566606E+026,-6.1,-8.5,-8.3,-8.3,,,,,,,,,,-7.1,,,,0.3,,-1,,,,,,-9,0.3,0.3,0.3,-1,,,1300000000,290000000,200000000,,820000000,26000000,18000000,6600000,710000000,40000000,,,,,,,,,,,,-8.6,,-1,,14000000,,,,,,,,,,,-9.3,-7.6,0.3,0.3,,,,,,,,,,,,,,,,,,,,,180000,110000000,,,,,,,,-9.35,0.3,8300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PG 1225-079,Xu 2013,PG 1225-079 Xu 2013,10800,8,0.58,He,Gaia DR3 3583181371265430656,186.947327465292,-8.2438813096413,,https://ui.adsabs.harvard.edu/abs/2013ApJ...766..132X/abstract,-4.05,-8.06,0.1,0.03,,,,30.5565,0.0281,-7.5,-7.42,0.2,0.07,,,-7.45,-7.8,0.1,0.1,30000000,3100000,1.10225244278594E+028,-8.26,-9.27,-9.45,-8.76,5995944000000,15147648000000,6627096000000,13885344000000,5995944000000,5680368000000,7258248000000,,-5.54,-7.84,,,-1,-1,,0.14,-9.5,-1,disc,,Be measurement from Klein 2021. Infrared excess from Farihi 2010,-9.79,-1,0.02,0.06,0.14,,910000000,2600000,14000000,9500000,520000,16000000,830000,1300000,400000,90000000,4000000,160000000,17356680000000,,14200920000000,11360736000000,9467280000000,5364792000000,6311520000000,,,-11.29,-10.41,0.07,0.1,11000,96000,5680368000000,5680368000000,-12,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3,,-1,13000,-11.65,-1,14000,6942672000000,3786912000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187808710567996,0.019406900092026,,,,0.087644064931732,,,0.100164645636265,0.005196040992381,0.008138377457947,0.002504116140907,0.563426131703988,0.025041161409066,,6.88631938749319E-05,0.000600987873818,,,,,,,
6,WD J1927-0355,O'Brien 2024,WD J1927-0355 O'Brien 2024,6540,7.99,,He,Gaia DR3 4213409341688406912,291.929578691475,-3.9320090705844,,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract,-3.5,-9.1,,0.11,150,0.04,,41.9251,0.0359,-7,-8,0.15,0.1,,,-7.6,,-1,,,,,-9.4,-10.2,-10.7,-9.3,,,,,,,,,,-8.6,,,,-1,,0.2,,,,,,-9.2,-1,0.1,0.2,-1,,,,,,,,,,,,,,,,,,,,,,,-11.7,-10.5,-1,-1,,,,,,,,,-11.7,-1,,,,,,,,,-11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-12.3,-1,,,,-12.2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WD J2141-3300,O'Brien 2024,WD J2141-3300 O'Brien 2024,6870,7.96,,He,Gaia DR3 6592315723192176896,325.489854831092,-33.0082781571847,,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract,-3.5,-8.9,,0.1,150,0.04,,62.0704,0.0225,-7.5,-8.2,0.15,0.1,,,-7.2,,0.2,,,,,-9.2,-10,-10,-9.2,,,,,,,,,,-8.5,,,,0.3,,0.2,,,,,,-9.3,0.2,0.1,0.2,-1,,,,,,,,,,,,,,,,,,,,,,,-11.7,-10.4,-1,-1,,,,,,,,,-11.7,-1,,,,,,,,,-10.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-12.1,0.3,,,,-12.2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GD 424 (WHT),Izquierdo 2021,GD 424 (WHT) Izquierdo 2021,16560,8.25,0.77,He,Gaia DR3 547179765520150912,36.0362960374584,75.0493218418841,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.4276I/abstract,-3.65,-6.05,0.03,0.02,75,0.02,0.01,10.8904,0.0369,-5.18,,0.02,,,,-5.36,,0.02,,3300000000,,2.37E+026,,,,,2041776720000,2862274320000,1527387840000,2859118560000,1596814560000,1685175840000,1498986000000,,-4.59,,,,0.12,,,,,,,,,,,,,,,6340000000,150000000,3600000000,310000000,,830000000,30000000,120000000,50000000,6400000000,270000000,21400000000,,,3850027200000,2594034720000,2619280800000,,1521076320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12800000000,5900000000,5100000000,1100000000,250000000,480000000,40000000,150000000,60000000,7800000000,330000000,34000000000,48700000000,55400000000,65400000000,38800000000,2300000000,6400000000,3000000000,17100000000,8600000000,1091300000000,51300000000,1388300000000,,,,,,,0.154205607476636,,,0.296261682242991,0.007009345794393,0.168224299065421,0.014485981308411,,0.038785046728972,0.001401869158879,0.005607476635514,0.002336448598131,0.299065420560748,0.012616822429907,,,,,,,,,,
9,GD 424 (Keck),Izquierdo 2021,GD 424 (Keck) Izquierdo 2021,16560,8.25,0.77,He,Gaia DR3 547179765520150912,36.0362960374584,75.0493218418841,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.4276I/abstract,,-6.15,,0.05,75,0.02,0.01,10.8904,0.0369,-5.15,-5.53,0.04,0.12,,,-5.29,,0.04,,3300000000,,2.37E+026,-6.5,-7.19,-7.78,-6.93,2041776720000,2862274320000,1527387840000,2859118560000,1596814560000,1685175840000,1498986000000,,-4.59,-6.3,,,0.12,0.1,,0.1,,,,,O abundance from WHT,-7.64,-1,0.09,0.07,0.07,,6340000000,150000000,3600000000,310000000,,830000000,30000000,120000000,50000000,6400000000,270000000,21400000000,,,3850027200000,2594034720000,2619280800000,,1521076320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12800000000,5900000000,5100000000,1100000000,250000000,480000000,40000000,150000000,60000000,7800000000,330000000,34000000000,48700000000,55400000000,65400000000,38800000000,2300000000,6400000000,3000000000,17100000000,8600000000,1091300000000,51300000000,1388300000000,,,,,,,0.155294117647059,,,0.298352941176471,,0.169411764705882,0.014588235294118,,0.039058823529412,0.001411764705882,0.005647058823529,0.002352941176471,0.301176470588235,0.012705882352941,,,,,,,,,,
